Index;Year;Age;Name;Movie
1;1928;44;Emil Jannings;The Last Command, The Way of All Flesh
2;1929;41;Warner Baxter;In Old Arizona
3;1930;62;George Arliss;Disraeli
4;1931;53;Lionel Barrymore;A Free Soul
5;1932;47;Wallace Beery;The Champ
6;1932;35;Fredric March;Dr. Jekyll and Mr. Hyde
7;1933;34;Charles Laughton;The Private Life of Henry VIII
8;1934;34;Clark Gable;It Happened One Night
9;1935;49;Victor McLaglen;The Informer
10;1936;41;Paul Muni;The Story of Louis Pasteur
11;1937;37;Spencer Tracy;Captains Courageous
12;1938;38;Spencer Tracy;Boys Town
13;1939;34;Robert Donat;Goodbye, Mr. Chips
14;1940;32;James Stewart;The Philadelphia Story
15;1941;40;Gary Cooper;Sergeant York
16;1942;43;James Cagney;Yankee Doodle Dandy
17;1943;48;Paul Lukas;Watch on the Rhine
18;1944;41;Bing Crosby;Going My Way
19;1945;39;Ray Milland;The Lost Weekend
20;1946;49;Fredric March;The Best Years of Our Lives
21;1947;57;Ronald Colman;A Double Life
22;1948;41;Laurence Olivier;Hamlet
23;1949;38;Broderick Crawford;All the King's Men
24;1950;39;José Ferrer;Cyrano de Bergerac
25;1951;52;Humphrey Bogart;The African Queen
26;1952;51;Gary Cooper;High Noon
27;1953;35;William Holden;Stalag 17
28;1954;30;Marlon Brando;On the Waterfront
29;1955;39;Ernest Borgnine;Marty
30;1956;36;Yul Brynner;The King and I
31;1957;43;Alec Guinness;The Bridge on the River Kwai
32;1958;49;David Niven;Separate Tables
33;1959;36;Charlton Heston;Ben-Hur
34;1960;47;Burt Lancaster;Elmer Gantry
35;1961;31;Maximilian Schell;Judgment at Nuremberg
36;1962;47;Gregory Peck;To Kill a Mockingbird
37;1963;37;Sidney Poitier;Lilies of the Field
38;1964;57;Rex Harrison;My Fair Lady
39;1965;42;Lee Marvin;Cat Ballou
40;1966;45;Paul Scofield;A Man for All Seasons
41;1967;42;Rod Steiger;In the Heat of the Night
42;1968;45;Cliff Robertson;Charly
43;1969;62;John Wayne;True Grit
44;1970;43;George C. Scott;Patton
45;1971;42;Gene Hackman;The French Connection
46;1972;48;Marlon Brando;The Godfather
47;1973;49;Jack Lemmon;Save the Tiger
48;1974;56;Art Carney;Harry and Tonto
49;1975;38;Jack Nicholson;One Flew Over the Cuckoo's Nest
50;1976;60;Peter Finch;Network
51;1977;30;Richard Dreyfuss;The Goodbye Girl
52;1978;40;Jon Voight;Coming Home
53;1979;42;Dustin Hoffman;Kramer vs. Kramer
54;1980;39;Robert De Niro;Raging Bull
55;1981;76;Henry Fonda;On Golden Pond
56;1982;39;Ben Kingsley;Gandhi
57;1983;53;Robert Duvall;Tender Mercies
58;1984;45;F. Murray Abraham;Amadeus
59;1985;36;William Hurt;Kiss of the Spider Woman
60;1986;62;Paul Newman;The Color of Money
61;1987;43;Michael Douglas;Wall Street
62;1988;51;Dustin Hoffman;Rain Man
63;1989;32;Daniel Day-Lewis;My Left Foot
64;1990;42;Jeremy Irons;Reversal of Fortune
65;1991;54;Anthony Hopkins;The Silence of the Lambs
66;1992;52;Al Pacino;Scent of a Woman
67;1993;37;Tom Hanks;Philadelphia
68;1994;38;Tom Hanks;Forrest Gump
69;1995;32;Nicolas Cage;Leaving Las Vegas
70;1996;45;Geoffrey Rush;Shine
71;1997;60;Jack Nicholson;As Good as It Gets
72;1998;46;Roberto Benigni;Life Is Beautiful
73;1999;40;Kevin Spacey;American Beauty
74;2000;36;Russell Crowe;Gladiator
75;2001;47;Denzel Washington;Training Day
76;2002;29;Adrien Brody;The Pianist
77;2003;43;Sean Penn;Mystic River
78;2004;37;Jamie Foxx;Ray
79;2005;38;Philip Seymour Hoffman;Capote
80;2006;45;Forest Whitaker;The Last King of Scotland
81;2007;50;Daniel Day-Lewis;There Will Be Blood
82;2008;48;Sean Penn;Milk
83;2009;60;Jeff Bridges;Crazy Heart
84;2010;50;Colin Firth;The King's Speech
85;2011;39;Jean Dujardin;The Artist
86;2012;55;Daniel Day-Lewis;Lincoln
87;2013;44;Matthew McConaughey;Dallas Buyers Club
88;2014;33;Eddie Redmayne;The Theory of Everything
89;2015;41;Leonardo DiCaprio;The Revenant
90;2016;41;Casey Affleck;Manchester by the Sea
91;2017;59;Gary Oldman;Darkest Hour
92;2018;37;Rami Malek;Bohemian Rhapsody
93;2019;45;Joaquin Phoenix;Joker
94;2020;83;Anthony Hopkins;The Father
95;2021;53;Will Smith;King Richard
95;2022;54;Brendan Fraser;The Whale
